Waterbody Name,Acres_Mile,Boat Launch Type,Boat Launch Owner,Amenities,Fish Species,Ice Fishing,Comments,Boat Launch Information,Waterbody Information,Contour Map of Waterbody,Special Regulations on Waterbody,County,Longitude,Latitude,Location
South Lake,499,Trailer Unimproved,NY Canal Corporation,,Brook Trout,,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/soulkmap.pdf,,Herkimer,-74.89277362,43.510226808,"(43.510226808, -74.89277362)"
Spectacle Lakes,167,None,None,,Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38327.html,,,Fulton,-74.57850438,43.238674081,"(43.238674081, -74.57850438)"
Sprague Pond,59,None,None,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38329.html,http://www.dec.ny.gov/docs/fish_marine_pdf/spragpdmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.375596942,43.796938403,"(43.796938403, -74.375596942)"
Springhill Pond,28,None,None,,Brook Trout - Rainbow Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.592162452,43.790186018,"(43.790186018, -73.592162452)"
Star Lake,200,Hand Launch,DEC,,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23866.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/starlkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.043707271,44.156277379,"(44.156277379, -75.043707271)"
Stark Falls Reservoir,650,Trailer Unimproved,Private,,Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/starresmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.749548892,44.443853295,"(44.443853295, -74.749548892)"
Stephens Pond,64,None,None,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.415354604,43.82033211,"(43.82033211, -74.415354604)"
Stillwater Reservoir,6700,Trailer Improved,DEC,Boat Rental - Campsite,Smallmouth Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23891.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/stillresmap.pdf,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,-75.022005737,43.888979153,"(43.888979153, -75.022005737)"
Streeter Lake,68,Hand Launch,DEC,Campsite,Brook Trout,,Site includes accessible features,,,http://www.dec.ny.gov/docs/fish_marine_pdf/strelkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.07148716,44.10777313,"(44.10777313, -75.07148716)"
Sylvia Lake,314,Trailer Unimproved,Private,,Rainbow Trout,,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/sylvlkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.414651264,44.253535509,"(44.253535509, -75.414651264)"
Taylor Pond,821,Trailer Unimproved,DEC,Boat Rental - Campsite,Lake Trout - Atlantic salmon,,,http://www.dec.ny.gov/outdoor/23904.html,http://www.dec.ny.gov/outdoor/71850.html,http://www.dec.ny.gov/docs/fish_marine_pdf/tylrpdmap.pdf,,Clinton,-73.85450816,44.487417526,"(44.487417526, -73.85450816)"
Third Lake,180,None,None,,Lake Trout,,,,,,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,-74.898253667,43.729098919,"(43.729098919, -74.898253667)"
Thirteenth Lake,335,Hand Launch,DEC,,Brook Trout - Brown Trout - Rainbow Trout,,Site includes accessible features,,http://www.dec.ny.gov/outdoor/38365.html,http://www.dec.ny.gov/docs/fish_marine_pdf/thirlkmap.pdf,http://www.dec.ny.gov/outdoor/31501.html,Warren,-74.126449388,43.70523525,"(43.70523525, -74.126449388)"
Tooley Pond,99,Trailer Unimproved,OPRHP (State Parks),,American Black Bass,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/toolpdmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.91936023,44.270648264,"(44.270648264, -74.91936023)"
Townline Pond,38,Hand Launch,Private,,Brook Trout,,,,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.667677076,44.229481081,"(44.229481081, -74.667677076)"
Trout Lake,364,Trailer Improved,Private,Marina - Boat Rental - Campsite,Rainbow Trout - Lake Trout - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/troutlkmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.267483724,44.364099473,"(44.364099473, -75.267483724)"
Tupper Lake,3853,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Walleye,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/tuplkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.498128929,44.19489866,"(44.19489866, -74.498128929)"
Twitchell Pond,140,Trailer Improved,DEC,Campsite,Brook Trout - Yellow Perch,,Baitfish prohibited,http://www.dec.ny.gov/outdoor/23891.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/twitlkmap.pdf,,Herkimer,-74.882971518,43.850867228,"(43.850867228, -74.882971518)"
Union Falls Flow,1672,Trailer Improved,Private,Campsite,Smallmouth Bass - Yellow Perch - Northern Pike - Walleye,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/71835.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-73.940113913,44.486231854,"(44.486231854, -73.940113913)"
Upper Cascade Lake,26,Hand Launch,DEC,,Brook Trout - Brown Trout,,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/upcaslkmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.877756043,44.223780839,"(44.223780839, -73.877756043)"
Upper Chateaugay Lake,2524,Trailer Improved,DEC,Marina - Boat Rental,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23904.html,http://www.dec.ny.gov/outdoor/71855.html,http://www.dec.ny.gov/docs/fish_marine_pdf/upchatlkmap.pdf,http://www.dec.ny.gov/outdoor/31437.html,Clinton,-73.964913108,44.746249907,"(44.746249907, -73.964913108)"
Upper Saranac Lake,4775,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Lake Trout - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/upsaralkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.316443612,44.31476178,"(44.31476178, -74.316443612)"
Upper/Lower Siamese Ponds,27,None,None,,Rainbow Trout - Lake Trout,,,,http://www.dec.ny.gov/outdoor/38365.html,,http://www.dec.ny.gov/outdoor/31451.html,Warren,-74.188277625,43.62075144,"(43.62075144, -74.188277625)"
Vanderwacker Pond,22,None,None,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-74.001659661,43.958194916,"(43.958194916, -74.001659661)"
West Caroga Lake,321,Trailer Unimproved,DEC,,Smallmouth Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/76373.html,http://www.dec.ny.gov/docs/fish_marine_pdf/wcarglkmap.pdf,http://www.dec.ny.gov/outdoor/31445.html,Fulton,-74.495460154,43.137145425,"(43.137145425, -74.495460154)"
West Pine Pond,63,None,None,,Brook Trout - Lake Trout,,,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.429894132,44.338133916,"(44.338133916, -74.429894132)"
Whetstone Marsh,100,Trailer Unimproved,OPRHP (State Parks),Campsite,Smallmouth Bass - American Black Bass - Muskellunge,Ice Fishing Permitted,,,,,,Lewis,-75.508880844,43.67302302,"(43.67302302, -75.508880844)"
Whey Pond,108,Hand Launch,DEC,Campsite,Rainbow Trout,,Artificial lures only - Site includes accessible features,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/wheypdmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.39426416,44.307156144,"(44.307156144, -74.39426416)"
Wilcox Lake,134,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38365.html,,,Warren,-74.150232888,43.401983986,"(43.401983986, -74.150232888)"
Bowman Lake,34,Trailer Unimproved,OPRHP (State Parks),Boat Rental - Campsite,Brook Trout - Rainbow Trout - American Black Bass - Sunfish - Black Crappie,Ice Fishing Permitted,No motors - OPRHP permit required ((607) 334-2718),,http://www.dec.ny.gov/outdoor/70366.html,,http://www.dec.ny.gov/outdoor/31436.html,Chenango,-75.688788944,42.518379708,"(42.518379708, -75.688788944)"
Canadice Lake,649,Trailer Unimproved,DEC,,Brown Trout - Rainbow Trout - Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,10 horsepower limit - no boats longer than 17 ft,http://www.dec.ny.gov/outdoor/23880.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/cdiclkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Ontario,-77.568153468,42.719694633,"(42.719694633, -77.568153468)"
Cayuga Lake,42496,Trailer Improved,State Parks (5) - DEC (1),Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23908.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/cayugalkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Cayuga/Tonpkins/Seneca,-76.731767275,42.7246437,"(42.7246437, -76.731767275)"
Cayuta Lake,371,Trailer Improved,DEC,Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23869.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/caytlkmap.pdf,http://www.dec.ny.gov/outdoor/31491.html,Schuyler,-76.73457515,42.367534545,"(42.367534545, -76.73457515)"
Chenango Lake,135,Hand Launch,Municipal,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Muskellunge - Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/69535.html,http://www.dec.ny.gov/docs/fish_marine_pdf/chenlkmap.pdf,http://www.dec.ny.gov/outdoor/31436.html,Chenango,-75.441143161,42.58259864,"(42.58259864, -75.441143161)"
Conesus Lake,3420,Trailer Improved - Hand Launch,DEC (3) - State Parks (1),Fishing Pier - Marina - Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Black Crappie - Muskellunge - Northern Pike - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23888.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/conelkmap.pdf,http://www.dec.ny.gov/outdoor/31505.html,Livingston,-77.715453788,42.785843696,"(42.785843696, -77.715453788)"
Cross Lake,2176,Trailer Improved,Private,Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/69525.html,http://www.dec.ny.gov/docs/fish_marine_pdf/crosslkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Cayuga,-76.479516975,43.124222772,"(43.124222772, -76.479516975)"
DeRuyter Reservoir,576,Trailer Improved,Private,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/69520.html,http://www.dec.ny.gov/docs/fish_marine_pdf/derlkmap.pdf,,Madison,-75.892280449,42.814479801,"(42.814479801, -75.892280449)"
Duck Lake,218,Trailer Improved,Private,Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Common carp,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/68428.html,http://www.dec.ny.gov/docs/fish_marine_pdf/dcklkmap.pdf,,Cayuga,-76.689364563,43.147527456,"(43.147527456, -76.689364563)"
Eaton Brook Reservoir,272,Trailer Improved,DEC,,Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23887.html,http://www.dec.ny.gov/outdoor/60511.html,http://www.dec.ny.gov/docs/fish_marine_pdf/eatresmap.pdf,http://www.dec.ny.gov/outdoor/31460.html,Madison,-75.698489375,42.860095671,"(42.860095671, -75.698489375)"
Hemlock Lake,1800,Trailer Unimproved,DEC (2),,Brown Trout - Rainbow Trout - Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye,Ice Fishing Permitted,10 horsepower limit - no boats longer than 17 ft,http://www.dec.ny.gov/outdoor/23880.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/hemlkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Ontario/Livingston,-77.612140287,42.731447942,"(42.731447942, -77.612140287)"
Honeoye Lake,1772,Trailer Improved,Various,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23880.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/honylkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Ontario,-77.512137662,42.753265926,"(42.753265926, -77.512137662)"
Irondequoit Bay,1648,Trailer Improved,Municipal,Fishing Pier - Marina - Boat Rental,Brown Trout - Rainbow Trout - Coho Salmon - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23886.html,,,http://www.dec.ny.gov/outdoor/31423.html,Monroe,-77.529385594,43.202825132,"(43.202825132, -77.529385594)"
Keuka Lake,11584,Trailer Improved,Various,Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23854.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/keukalkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Yates,-77.12281881,42.501051974,"(42.501051974, -77.12281881)"
Lake Como,64,Trailer Improved,Private,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Chain Pickerel - Walleye,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/68729.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkcomomap.pdf,,Cayuga,-76.302488655,42.677217061,"(42.677217061, -76.302488655)"
Lake Moraine,251,Trailer Improved,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Chain Pickerel,Ice Fishing Permitted,,,,,,Madison,-75.517647701,42.856270143,"(42.856270143, -75.517647701)"
Lake Ontario,4868238,Trailer Improved - Hand Launch,DEC (11) - State Parks (15),,Brown Trout - Rainbow Trout - Lake Trout - Atlantic salmon - Coho Salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23883.html,http://www.dec.ny.gov/outdoor/26912.html,,http://www.dec.ny.gov/outdoor/31423.html,Multiple,-77.447860433,43.5298085,"(43.5298085, -77.447860433)"
Leland Ponds,100,Trailer Improved,DEC,Fishing Pier,Brown Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23887.html,http://www.dec.ny.gov/outdoor/61642.html,http://www.dec.ny.gov/docs/fish_marine_pdf/uplepdmap.pdf,http://www.dec.ny.gov/outdoor/31460.html,Madison,-75.574212604,42.878638199,"(42.878638199, -75.574212604)"
Little Sodus Bay,750,Trailer Improved,OPRHP (State Parks),Fishing Pier - Marina - Campsite,American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23908.html,,,http://www.dec.ny.gov/outdoor/31423.html,Cayuga,-76.708325749,43.333237036,"(43.333237036, -76.708325749)"
Little York Lake,102,Trailer Unimproved,Municipal,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/60205.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lyorlkmap.pdf,http://www.dec.ny.gov/outdoor/31439.html,Cortland,-76.155772629,42.703261094,"(42.703261094, -76.155772629)"
Long Pond,115,Trailer Improved,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23905.html,http://www.dec.ny.gov/outdoor/62112.html,http://www.dec.ny.gov/docs/fish_marine_pdf/longpdmap.pdf,http://www.dec.ny.gov/outdoor/31436.html,Chenango,-75.847073815,42.42017688,"(42.42017688, -75.847073815)"
Onondaga Lake,2944,Trailer Improved,Private,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Walleye - Common carp - Channel Catfish,,,,http://www.dec.ny.gov/outdoor/60782.html,http://www.dec.ny.gov/docs/fish_marine_pdf/ononlkmap.pdf,,Onondaga,-76.210388628,43.089067474,"(43.089067474, -76.210388628)"
Otisco Lake,2200,Trailer Improved,DEC,Fishing Pier - Marina - Boat Rental,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23881.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/otislkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Onondaga,-76.283204201,42.863228198,"(42.863228198, -76.283204201)"
Owasco Lake,6592,Trailer Improved,Various,Fishing Pier - Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Walleye - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/owascolkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Cayuga,-76.514162354,42.834139789,"(42.834139789, -76.514162354)"
Park Station Pond,100,Hand Launch,Municipal,Boat Rental - Campsite,Brook Trout - Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,No motors,http://www.dec.ny.gov/outdoor/23906.html,http://www.dec.ny.gov/outdoor/41760.html,,http://www.dec.ny.gov/outdoor/31435.html,Chemung,-76.66982307,42.226817559,"(42.226817559, -76.66982307)"
Salmon River Reservoir,2660,Trailer Improved,DEC (4),Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23877.html,http://www.dec.ny.gov/outdoor/60775.html,http://www.dec.ny.gov/docs/fish_marine_pdf/srivresmap.pdf,http://www.dec.ny.gov/outdoor/31476.html,Oswego,-75.87010826,43.538989835,"(43.538989835, -75.87010826)"
Sandy Ponds (N & S),2700,Trailer Improved,Private,Marina - Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye - Common carp,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/41039.html,,http://www.dec.ny.gov/outdoor/31423.html,Oswego,-76.182775381,43.656351541,"(43.656351541, -76.182775381)"
Seneca Lake,43343,Trailer Improved,DEC (1) - State Parks (3),Fishing Pier - Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike - Common carp,,,http://www.dec.ny.gov/outdoor/23854.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/senecalkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Seneca/Yates/Schuyler,-76.91338726,42.683027887,"(42.683027887, -76.91338726)"
Skaneateles Lake,8960,Trailer Improved,DEC,Fishing Pier - Marina - Boat Rental,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23881.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/skanlkmap.pdf,http://www.dec.ny.gov/outdoor/31417.html,Onondaga,-76.365278839,42.854707761,"(42.854707761, -76.365278839)"
Sodus Bay,3357,Trailer Improved,Municipal,Fishing Pier - Marina - Boat Rental,Brown Trout - Rainbow Trout - Atlantic salmon - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,,,,http://www.dec.ny.gov/outdoor/31420.html,Wayne,-76.961704745,43.25492938,"(43.25492938, -76.961704745)"
Tully Lake,230,Hand Launch,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,7.5 horsepower limit,http://www.dec.ny.gov/outdoor/23901.html,http://www.dec.ny.gov/outdoor/60199.html,http://www.dec.ny.gov/docs/fish_marine_pdf/tllylkmap.pdf,http://www.dec.ny.gov/outdoor/31439.html,Cortland,-76.134239473,42.775946978,"(42.775946978, -76.134239473)"
Waneta & Lamoka Lakes,1511,Trailer Improved,DEC,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23869.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lamolkmap.pdf,,Schuyler,-77.089511368,42.421764767,"(42.421764767, -77.089511368)"
Waterport Reservoir,64,Trailer Improved,Municipal,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23878.html,,,,Orleans,-78.257714406,43.321435951,"(43.321435951, -78.257714406)"
Whitney Point Reservoir,1200,Trailer Improved,DEC (2),Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,25 horsepower limit,http://www.dec.ny.gov/outdoor/23910.html,http://www.dec.ny.gov/outdoor/40284.html,http://www.dec.ny.gov/docs/fish_marine_pdf/whitresmap.pdf,http://www.dec.ny.gov/outdoor/31431.html,Broome,-75.978017841,42.367039938,"(42.367039938, -75.978017841)"
Allegheny Reservoir,3925,Trailer Improved,OPRHP (State Parks),Marina - Boat Rental - Campsite,Smallmouth Bass - Yellow Perch - Muskellunge - Atlantic salmon - Northern Pike - Walleye - Common carp,,,http://www.dec.ny.gov/outdoor/23909.html,,,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.926309917,42.03994657,"(42.03994657, -78.926309917)"
Allen Lake,58,Trailer Unimproved,DEC,Fishing Pier - Campsite,Brook Trout - Brown Trout - American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23911.html,http://www.dec.ny.gov/outdoor/26977.html,http://www.dec.ny.gov/docs/fish_marine_pdf/allenlkmap.pdf,http://www.dec.ny.gov/outdoor/31494.html,Allegany,-78.067068811,42.385277454,"(42.385277454, -78.067068811)"
Bear Lake,114,Trailer Improved - Hand Launch,DEC - Private,Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23907.html,http://www.dec.ny.gov/outdoor/26972.html,http://www.dec.ny.gov/docs/fish_marine_pdf/bearlkmap.pdf,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,-79.384231022,42.347038797,"(42.347038797, -79.384231022)"
Case Lake,71,Trailer Unimproved,DEC,Campsite,Brook Trout - Brown Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23909.html,http://www.dec.ny.gov/outdoor/26968.html,http://www.dec.ny.gov/docs/fish_marine_pdf/caselkmap.pdf,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,-78.437253036,42.323787633,"(42.323787633, -78.437253036)"
Cassadaga Lakes,217,Trailer Improved,DEC,Fishing Pier - Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23907.html,http://www.dec.ny.gov/outdoor/26964.html,http://www.dec.ny.gov/docs/fish_marine_pdf/mcasslkmap.pdf,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,-79.326277567,42.34749348,"(42.34749348, -79.326277567)"
Chautauqua Lake,13156,Trailer Improved,DEC (2) - State Parks (1),Fishing Pier - Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23907.html,http://www.dec.ny.gov/outdoor/9230.html,http://www.dec.ny.gov/outdoor/24276.html,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,-79.399603826,42.166128304,"(42.166128304, -79.399603826)"
Cuba Lake,445,Trailer Unimproved,Office of General Services,Marina - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23911.html,http://www.dec.ny.gov/outdoor/26961.html,http://www.dec.ny.gov/docs/fish_marine_pdf/cubalkmap.pdf,,Allegany,-78.292552863,42.249137012,"(42.249137012, -78.292552863)"
Findley Lake,292,Trailer Improved - Hand Launch,DEC - Private,Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23907.html,http://www.dec.ny.gov/outdoor/26958.html,http://www.dec.ny.gov/docs/fish_marine_pdf/findlkmap.pdf,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,-79.723946133,42.105350001,"(42.105350001, -79.723946133)"
